stt,url,address,name,location,confirmed,rate,votes,rest_type,special_diet,price_max,price_min
53,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d2034882-Reviews-La_Villa_French_Restaurant_by_Thierry_Mounon-Ho_Chi_Minh_City.html,"14 Ngô Quang Huy P. Thảo Điền, Quận 2, Thành phố Hồ Chí Minh 0084 Việt Nam",La Villa French Restaurant by Thierry Mounon,Thành phố Hồ Chí Minh,Y,4.5,1070,Kiểu Pháp,Y,2325581,1162791
54,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10744326-Reviews-33_De_Tham_Restaurant-Ho_Chi_Minh_City.html,"33 Đề Thám Phường Cầu Ông Lãnh, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Quán 33 Đề Thám,Thành phố Hồ Chí Minh,Y,4.5,331,"Hải sản, Kiểu Á, Thịt nướng, Kiểu Việt",Y,350000,40000
55,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d8806032-Reviews-Social_Club_Restaurant_Bar-Ho_Chi_Minh_City.html,"76-78 Nguyễn Thị Minh Khai, Q.3 Lầu 23-24, Khách sạn Hotel des Arts Saigon, Thành phố Hồ Chí Minh 70000 Việt Nam",Social Club Restaurant & Bar,Thành phố Hồ Chí Minh,Y,4.5,387,"Quầy bar, Quầy rượu vang, Quốc tế, Món kết hợp",Y,300,100
56,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d2200413-Reviews-Pizza_4P_s_Le_Thanh_Ton-Ho_Chi_Minh_City.html,"8/15, Lê Thánh Tôn Quận 1, Thành phố Hồ Chí Minh Việt Nam",Pizza 4P's Le Thanh Ton,Thành phố Hồ Chí Minh,Y,4.5,2859,"Kiểu Ý, Pizza",Y,581395,116279
57,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10721705-Reviews-B_p_M_n-Ho_Chi_Minh_City.html,"136/9 Đường Lê Thánh Tôn Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Bếp Mẹ ỉn,Thành phố Hồ Chí Minh,Y,4.5,1718,"Kiểu Việt, Kiểu Á, Tốt cho sức khỏe, Thức ăn đường phố",Y,232558,46512
58,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d8039278-Reviews-Chanh_Bistro_Rooftop_Saigon_LTT-Ho_Chi_Minh_City.html,"215 Lý Tự Trọng Tầng thượng, Phường Bến Thành, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Chanh Bistro Rooftop Saigon,Thành phố Hồ Chí Minh,Y,4.5,541,"Quốc tế, Kiểu Âu",Y,32,2
59,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d8147173-Reviews-Spice_Bistro_Thi_Sach-Ho_Chi_Minh_City.html,"2 Thi Sách Phường Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",Spice Bistro - Thi Sách,Thành phố Hồ Chí Minh,Y,4.5,193,Kiểu Việt,Y,350000,250000
60,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d7362409-Reviews-The_M_ch_House-Ho_Chi_Minh_City.html,"75 Đường Pasteur Tầng 1, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",The Mạch House,Thành phố Hồ Chí Minh,Y,4.5,464,"Kiểu Pháp, Kiểu Âu",Y,15,7
61,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d13322323-Reviews-Rice_Field_Homecooked_Vietnamese_Cuisine-Ho_Chi_Minh_City.html,"75 - 77 Hồ Tùng Mậu Level 1-2- Tầng Thượng, Bến Nghé, Quận 1, Thành phố Hồ Chí Minh 700000 Việt Nam",Rice Field - Homecooked Vietnamese Cuisine,Thành phố Hồ Chí Minh,Y,4.5,365,"Kiểu Á, Kiểu Việt",Y,299000,80000
62,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d7704159-Reviews-Pasteur_Street_Brewing_Company-Ho_Chi_Minh_City.html,"144 Pasteur Xuống hẻm và lên cầu thang, Thành phố Hồ Chí Minh 700000 Việt Nam",Pasteur Street Brewing Company,Thành phố Hồ Chí Minh,Y,4.5,1234,"Quầy bar, Quán rượu, Nhà hàng bán bia",N,232558,116279
